Timestamp,Total_Drivers,Window_Size,Average_Speed_KPH,Utilization_Ratio_%,Classical_Batches,Classical_Time_s,Quantum_Batches,Quantum_Time_s,Avg_Quantum_Time_s,NN_Batches,NN_Time_s,Total_Batches,Avg_Batch_Size,Peak_RAM_GB,Total_Energy_J,Total_Distance_km,Total_Orders,Total_Delivered,Avg_Delivery_Time_Min,Median_Delivery_Time_Min,Max_Delivery_Time_Min,Std_Delivery_Time_Min,Quantum_Orders,Classical_Orders,NN_Orders,Quantum_Optimal_Hits,MultiHop_Success,MultiHop_Failed,SingleHop_Success,SingleHop_Failed,Max_Driver_Batches,Max_Driver_Active_Hours,Brute_Force_Timeouts,Wall_Clock_s,City,Demand_Pattern,Seed,Experiment_Label
2026-04-13 12:18:05,50,0.1,35.0,100.0,0,0.0,1675,338.0977,0.2018,0,0.0,1675,1.19,0.56,5071.4657,41987.1574,2000,2000,697.12,696.17,1415.5,399.74,2000,0,0,1549,607,0,1393,0,40,35.8198,0,342.5714,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d50_w0.1_spd35.0_2t
2026-04-13 16:34:27,50,0.1,35.0,100.0,5,0.0024,1564,832.7398,0.5324,0,0.0,1569,1.27,1.04,12491.3589,39778.9787,2000,2000,697.27,684.74,1401.92,416.21,1974,26,0,1405,752,0,1248,0,37,34.7824,0,837.2146,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d50_w0.1_spd35.0_2t
2026-04-13 16:40:10,100,0.1,35.0,100.0,0,0.0,1675,338.592,0.2021,0,0.0,1675,1.19,0.58,5078.8801,41987.1574,2000,2000,173.99,172.91,384.43,90.39,2000,0,0,1549,607,0,1393,0,21,18.2619,0,342.8672,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d100_w0.1_spd35.0_2t
2026-04-13 16:41:01,50,0.1,35.0,100.0,5,0.0018,1496,1226.9711,0.8202,0,0.0,1501,1.33,1.01,18404.7711,38776.4984,2000,2000,721.46,730.68,1436.52,427.73,1975,25,0,1322,861,0,1139,0,36,34.1656,0,1230.5381,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d50_w0.1_spd35.0_2t
2026-04-13 16:49:11,50,0.25,35.0,100.0,14,0.0097,1327,1716.6412,1.2936,0,0.0,1341,1.49,0.96,25750.692,35823.0366,2000,2000,557.6,557.84,1151.98,314.94,1929,71,0,1104,1107,0,893,0,31,31.2306,0,1720.9622,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d50_w0.25_spd35.0_2t
2026-04-13 16:55:10,50,0.25,35.0,100.0,35,0.2427,1195,2075.686,1.737,0,0.0,1230,1.63,0.94,31162.2271,33271.3565,2000,2000,559.02,549.45,1149.04,325.7,1804,196,0,993,1206,0,794,0,29,29.7129,0,2080.2001,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d50_w0.25_spd35.0_2t
2026-04-13 16:55:25,100,0.1,35.0,100.0,5,0.0019,1564,860.3964,0.5501,0,0.0,1569,1.27,1.02,12906.1545,39778.9787,2000,2000,232.79,226.71,488.13,131.63,1974,26,0,1405,752,0,1248,0,19,18.7528,0,864.6722,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d100_w0.1_spd35.0_2t
2026-04-13 17:01:28,100,0.1,35.0,100.0,5,0.0028,1496,1273.3934,0.8512,0,0.0,1501,1.33,0.95,19101.2094,38776.4079,2000,2000,265.97,272.62,532.19,154.81,1975,25,0,1322,861,0,1139,0,19,18.4459,0,1277.7205,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d100_w0.1_spd35.0_2t
2026-04-13 17:02:36,50,0.5,35.0,100.0,53,1.6007,949,2520.1748,2.6556,0,0.0,1002,2.0,1.06,37980.305,29325.1529,2000,2000,412.75,404.71,896.12,226.0,1690,310,0,703,1527,0,473,0,25,26.4649,0,2526.454,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d50_w0.5_spd35.0_2t
2026-04-13 17:03:27,50,0.25,35.0,100.0,52,4.375,1066,2568.0387,2.409,0,0.0,1118,1.79,1.06,39006.2107,31064.9435,2000,2000,558.03,559.74,1138.15,317.3,1682,318,0,875,1322,0,678,0,26,28.2748,0,2577.0383,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d50_w0.25_spd35.0_2t
2026-04-13 17:08:19,50,0.5,35.0,100.0,98,148.3988,708,2716.0136,3.8362,0,0.0,806,2.48,0.93,57212.4714,24348.7667,2000,2000,417.05,416.01,863.06,224.05,1287,713,0,549,1623,0,377,0,19,23.8476,14,2868.5529,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d50_w0.5_spd35.0_2t
2026-04-13 17:11:30,50,0.5,35.0,100.0,75,52.0122,824,3003.3487,3.6448,0,0.0,899,2.22,1.06,50823.5863,26501.2992,2000,2000,424.02,418.93,876.14,232.73,1481,519,0,618,1560,0,440,0,21,24.6598,4,3059.8818,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d50_w0.5_spd35.0_2t
2026-04-13 17:16:14,150,0.1,35.0,100.0,0,0.0013,1675,470.9857,0.2812,0,0.0,1675,1.19,0.74,7064.9339,41986.813,2000,2000,47.51,45.72,143.37,17.86,2000,0,0,1549,607,0,1393,0,15,13.7547,0,475.4748,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d150_w0.1_spd35.0_2t
2026-04-13 17:17:05,100,0.25,35.0,100.0,14,0.0033,1327,1669.517,1.2581,0,0.0,1341,1.49,1.16,25043.1242,35823.4202,2000,2000,114.3,112.88,270.46,50.86,1929,71,0,1104,1107,0,893,0,17,15.8781,0,1673.8105,cleveland,uniform,42,real_cleveland_o2000_uniform_s42_d100_w0.25_spd35.0_2t
2026-04-13 17:29:29,150,0.1,35.0,100.0,5,0.002,1564,790.9144,0.5057,0,0.0,1569,1.27,0.78,11863.9402,39778.9787,2000,2000,94.71,93.06,231.43,44.04,1974,26,0,1405,752,0,1248,0,14,13.7649,0,794.5784,cleveland,bimodal,42,real_cleveland_o2000_bimodal_s42_d150_w0.1_spd35.0_2t
2026-04-13 17:32:37,150,0.1,35.0,100.0,5,0.0028,1496,1262.983,0.8442,0,0.0,1501,1.33,0.91,18945.0555,38775.9467,2000,2000,131.97,135.22,299.35,70.14,1975,25,0,1322,861,0,1139,0,13,13.7918,0,1266.7354,cleveland,unimodal,42,real_cleveland_o2000_unimodal_s42_d150_w0.1_spd35.0_2t
