Timestamp,Total_Drivers,Window_Size,Average_Speed_KPH,Utilization_Ratio_%,Classical_Batches,Classical_Time_s,Quantum_Batches,Quantum_Time_s,Avg_Quantum_Time_s,NN_Batches,NN_Time_s,Total_Batches,Avg_Batch_Size,Peak_RAM_GB,Total_Energy_J,Total_Distance_km,Total_Orders,Total_Delivered,Avg_Delivery_Time_Min,Median_Delivery_Time_Min,Max_Delivery_Time_Min,Std_Delivery_Time_Min,Quantum_Orders,Classical_Orders,NN_Orders,Quantum_Optimal_Hits,MultiHop_Success,MultiHop_Failed,SingleHop_Success,SingleHop_Failed,Max_Driver_Batches,Max_Driver_Active_Hours,Brute_Force_Timeouts,Wall_Clock_s,City,Demand_Pattern,Seed,Experiment_Label
2026-04-13 19:33:19,50,0.5,35.0,100.0,63,274.0132,139,696.6295,5.0117,0,0.0,202,9.9,0.92,40864.9061,6114.2305,2000,2000,119.97,108.64,334.63,69.5,283,1717,0,106,1928,0,72,0,8,11.932,26,972.2226,santa_fe,unimodal,42,real_santa_fe_o2000_unimodal_s42_d50_w0.5_spd35.0_2t
2026-04-13 19:33:37,50,0.5,35.0,100.0,78,376.8335,168,610.5479,3.6342,0,0.0,246,8.13,1.07,50986.7383,7369.5975,2000,2000,109.29,98.95,310.27,60.64,311,1689,0,132,1907,0,93,0,8,14.6377,36,989.6872,santa_fe,uniform,42,real_santa_fe_o2000_uniform_s42_d50_w0.5_spd35.0_2t
2026-04-13 19:37:24,50,0.25,35.0,100.0,78,370.7527,240,843.3442,3.5139,0,0.0,318,6.29,1.06,53803.7177,8442.4107,2000,2000,108.1,97.17,299.04,60.32,452,1548,0,183,1870,0,130,0,10,12.2026,36,1216.7246,santa_fe,unimodal,42,real_santa_fe_o2000_unimodal_s42_d50_w0.25_spd35.0_2t
2026-04-13 19:37:36,50,0.25,35.0,100.0,84,379.1892,261,847.5199,3.2472,0,0.0,345,5.8,1.06,54802.7996,8954.1068,2000,2000,89.43,78.56,270.62,52.86,480,1520,0,201,1850,0,150,0,12,12.5993,37,1229.2011,santa_fe,bimodal,42,real_santa_fe_o2000_bimodal_s42_d50_w0.25_spd35.0_2t
2026-04-13 19:40:08,50,0.1,35.0,100.0,108,300.0893,457,1077.4287,2.3576,0,0.0,565,3.54,1.09,49471.3419,12760.2926,2000,2000,138.55,140.38,310.93,65.04,770,1230,0,380,1718,0,282,0,16,14.6726,27,1380.8735,santa_fe,bimodal,42,real_santa_fe_o2000_bimodal_s42_d50_w0.1_spd35.0_2t
2026-04-13 19:40:24,50,0.1,35.0,100.0,125,146.3559,498,1246.9947,2.504,0,0.0,623,3.21,1.1,34950.4277,13595.4124,2000,2000,85.01,80.95,236.46,38.14,837,1163,0,416,1694,0,306,0,17,15.1058,12,1396.8959,santa_fe,uniform,42,real_santa_fe_o2000_uniform_s42_d50_w0.1_spd35.0_2t
2026-04-13 19:41:37,50,0.1,35.0,100.0,96,375.3349,430,1091.0204,2.5373,0,0.0,526,3.8,1.05,58027.4796,12011.7793,2000,2000,155.33,161.35,339.03,79.03,736,1264,0,358,1741,0,259,0,16,14.9026,35,1469.8347,santa_fe,unimodal,42,real_santa_fe_o2000_unimodal_s42_d50_w0.1_spd35.0_2t
2026-04-13 19:45:43,50,0.25,35.0,100.0,90,471.012,288,1241.0761,4.3093,0,0.0,378,5.29,1.05,70898.47,9672.6708,2000,2000,80.47,70.71,218.87,46.56,542,1458,0,239,1836,0,164,0,12,14.7758,45,1715.5134,santa_fe,uniform,42,real_santa_fe_o2000_uniform_s42_d50_w0.25_spd35.0_2t
2026-04-13 19:47:31,50,0.5,35.0,100.0,69,313.7415,152,536.1615,3.5274,0,0.0,221,9.05,0.53,42867.7323,6597.5295,2000,2000,114.23,103.14,338.98,65.25,287,1713,0,111,1919,0,81,0,9,12.0161,30,851.781,santa_fe,bimodal,42,real_santa_fe_o2000_bimodal_s42_d50_w0.5_spd35.0_2t
2026-04-13 19:57:12,100,0.1,35.0,100.0,125,144.8342,498,1267.3127,2.5448,0,0.0,623,3.21,1.05,35086.2925,13594.5327,2000,2000,55.33,46.91,179.02,32.19,837,1163,0,416,1694,0,306,0,13,14.1881,12,1415.178,santa_fe,uniform,42,real_santa_fe_o2000_uniform_s42_d100_w0.1_spd35.0_2t
