Timestamp,Total_Drivers,Window_Size,Average_Speed_KPH,Utilization_Ratio_%,Classical_Batches,Classical_Time_s,Quantum_Batches,Quantum_Time_s,Avg_Quantum_Time_s,NN_Batches,NN_Time_s,Total_Batches,Avg_Batch_Size,Peak_RAM_GB,Total_Energy_J,Total_Distance_km,Total_Orders,Total_Delivered,Avg_Delivery_Time_Min,Median_Delivery_Time_Min,Max_Delivery_Time_Min,Std_Delivery_Time_Min,Quantum_Orders,Classical_Orders,NN_Orders,Quantum_Optimal_Hits,MultiHop_Success,MultiHop_Failed,SingleHop_Success,SingleHop_Failed,Max_Driver_Batches,Max_Driver_Active_Hours,Brute_Force_Timeouts,Wall_Clock_s,City,Demand_Pattern,Seed,Experiment_Label
2026-04-07 09:14:40,10,0.5,35.0,100.0,63,269.7508,139,658.1681,4.735,0,0.0,202,9.9,1.16,39814.8569,6112.7531,2000,2000,666.63,668.16,1300.95,341.79,283,1717,0,106,1928,0,72,0,24,31.8,25,929.3335,santa_fe,unimodal,42,real_santa_fe_o2000_unimodal_s42_d10_w0.5_spd35.0_2t
2026-04-07 09:14:44,10,0.5,35.0,100.0,78,377.8189,168,553.7753,3.2963,0,0.0,246,8.13,1.08,50244.5315,7367.9915,2000,2000,815.41,809.62,1693.42,447.15,311,1689,0,132,1907,0,93,0,32,39.666,36,933.7933,santa_fe,uniform,42,real_santa_fe_o2000_uniform_s42_d10_w0.5_spd35.0_2t
2026-04-07 09:18:58,10,0.25,35.0,100.0,84,376.4779,261,808.9439,3.0994,0,0.0,345,5.8,1.09,53923.2016,8954.6395,2000,2000,1092.67,1121.0,2124.53,585.4,480,1520,0,201,1850,0,150,0,39,45.9256,36,1187.6734,santa_fe,bimodal,42,real_santa_fe_o2000_bimodal_s42_d10_w0.25_spd35.0_2t
2026-04-07 09:19:20,10,0.25,35.0,100.0,78,368.3069,240,839.5287,3.498,0,0.0,318,6.29,1.14,53474.9982,8440.7574,2000,2000,984.83,1005.06,1936.99,521.25,452,1548,0,183,1870,0,130,0,40,43.4507,36,1209.9048,santa_fe,unimodal,42,real_santa_fe_o2000_unimodal_s42_d10_w0.25_spd35.0_2t
2026-04-07 09:20:39,10,0.1,35.0,100.0,125,146.5853,498,1139.6638,2.2885,0,0.0,623,3.21,1.09,33365.9265,13594.1077,2000,2000,1723.5,1714.17,3471.56,986.08,837,1163,0,416,1694,0,306,0,66,69.473,13,1288.7993,santa_fe,uniform,42,real_santa_fe_o2000_uniform_s42_d10_w0.1_spd35.0_2t
2026-04-07 09:21:00,10,0.1,35.0,100.0,108,297.0885,457,1010.0307,2.2101,0,0.0,565,3.54,1.19,48127.2816,12765.7244,2000,2000,1636.34,1664.08,3205.84,910.62,770,1230,0,380,1718,0,282,0,60,65.1008,26,1309.6603,santa_fe,bimodal,42,real_santa_fe_o2000_bimodal_s42_d10_w0.1_spd35.0_2t
2026-04-07 09:22:34,10,0.1,35.0,100.0,96,365.9278,430,1035.5102,2.4082,0,0.0,526,3.8,1.12,56150.6394,12010.5463,2000,2000,1515.37,1501.94,3022.28,838.5,736,1264,0,358,1741,0,259,0,57,61.444,34,1403.9815,santa_fe,unimodal,42,real_santa_fe_o2000_unimodal_s42_d10_w0.1_spd35.0_2t
2026-04-07 09:25:50,10,0.25,35.0,100.0,90,469.9734,288,1127.4213,3.9147,0,0.0,378,5.29,1.11,69078.3695,9671.1478,2000,2000,1141.34,1136.08,2357.03,647.21,542,1458,0,239,1836,0,164,0,46,50.7261,45,1599.9149,santa_fe,uniform,42,real_santa_fe_o2000_uniform_s42_d10_w0.25_spd35.0_2t
2026-04-07 09:26:51,10,1,35.0,100.0,56,325.1323,93,399.8819,4.2998,0,0.0,149,13.42,1.12,42087.9084,5211.8741,2000,2000,505.01,498.8,1023.44,248.99,194,1806,0,63,1956,0,44,0,19,27.5175,30,726.8186,santa_fe,uniform,42,real_santa_fe_o2000_uniform_s42_d10_w1_spd35.0_2t
2026-04-07 09:27:42,10,0.5,35.0,100.0,69,317.7588,152,462.9098,3.0455,0,0.0,221,9.05,1.1,42214.8702,6602.9302,2000,2000,760.59,783.32,1454.79,385.63,287,1713,0,111,1919,0,81,0,28,33.908,31,782.2438,santa_fe,bimodal,42,real_santa_fe_o2000_bimodal_s42_d10_w0.5_spd35.0_2t
2026-04-07 09:29:15,10,1,35.0,100.0,46,262.9764,81,352.734,4.3547,0,0.0,127,15.75,1.05,34481.3867,4307.5736,2000,2000,433.53,432.01,858.7,209.05,180,1820,0,57,1963,0,37,0,16,23.0287,26,617.1833,santa_fe,unimodal,42,real_santa_fe_o2000_unimodal_s42_d10_w1_spd35.0_2t
2026-04-07 09:31:39,10,1,35.0,100.0,52,282.0872,85,455.7141,5.3613,0,0.0,137,14.6,1.06,38147.3939,4698.0212,2000,2000,491.27,506.17,964.71,232.99,178,1822,0,66,1958,0,42,0,17,24.6338,27,738.8999,santa_fe,bimodal,42,real_santa_fe_o2000_bimodal_s42_d10_w1_spd35.0_2t
2026-04-07 09:41:31,20,0.1,35.0,100.0,125,134.3116,498,1114.9242,2.2388,0,0.0,623,3.21,1.16,31632.4535,13593.3763,2000,2000,673.07,660.56,1388.09,374.67,837,1163,0,416,1694,0,306,0,37,34.9243,11,1251.5822,santa_fe,uniform,42,real_santa_fe_o2000_uniform_s42_d20_w0.1_spd35.0_2t
2026-04-07 09:43:02,20,0.1,35.0,100.0,96,372.9738,430,947.0018,2.2023,0,0.0,526,3.8,1.12,55605.1232,12014.7679,2000,2000,621.23,618.92,1253.57,350.6,736,1264,0,358,1741,0,259,0,34,30.9981,32,1322.5269,santa_fe,unimodal,42,real_santa_fe_o2000_unimodal_s42_d20_w0.1_spd35.0_2t
2026-04-07 09:44:30,20,0.1,35.0,100.0,108,301.7733,457,1011.5104,2.2134,0,0.0,565,3.54,1.09,48669.4956,12764.3526,2000,2000,668.09,686.18,1310.0,368.21,770,1230,0,380,1718,0,282,0,33,32.5019,27,1315.8761,santa_fe,bimodal,42,real_santa_fe_o2000_bimodal_s42_d20_w0.1_spd35.0_2t
2026-04-07 09:44:47,20,0.5,35.0,100.0,78,380.2164,168,550.0565,3.2741,0,0.0,246,8.13,1.08,50454.8679,7365.3062,2000,2000,265.06,264.49,575.31,123.86,311,1689,0,132,1907,0,93,0,17,20.5307,36,932.2147,santa_fe,uniform,42,real_santa_fe_o2000_uniform_s42_d20_w0.5_spd35.0_2t
